sub-CC00765XX15,ses-8210
sub-CC00804XX12,ses-900
sub-CC00381XX11,ses-121600
sub-CC00384XX14,ses-122200
sub-CC00661XX10,ses-209600
sub-CC00466BN13,ses-138300
sub-CC00616XX14,ses-184700
sub-CC00162XX06,ses-53600
sub-CC00576XX16,ses-163200
sub-CC00754AN12,ses-223800
sub-CC00600XX06,ses-192200
sub-CC00415XX11,ses-127400
sub-CC00621XX11,ses-177900
sub-CC00254XX07,ses-84300
sub-CC00183XX11,ses-60300
sub-CC00672AN13,ses-197601
sub-CC00356XX10,ses-112901
sub-CC00547XX20,ses-157300
sub-CC00760XX10,ses-229500
sub-CC00350XX04,ses-109100
sub-CC00247XX17,ses-82801
sub-CC00860XX11,ses-7030
sub-CC00408XX12,ses-125500
sub-CC00275XX12,ses-93501
sub-CC00115XX08,ses-37801
sub-CC00301XX04,ses-113001
sub-CC00754BN12,ses-223701
sub-CC00334XX13,ses-106100
sub-CC00160XX04,ses-52700
sub-CC00339XX18,ses-107200
sub-CC00290XX11,ses-92900
sub-CC00182XX10,ses-60200
sub-CC00060XX03,ses-12501
sub-CC00639XX21,ses-216800
sub-CC00652XX09,ses-191600
sub-CC00529AN18,ses-151300
sub-CC00478XX17,ses-141601
sub-CC00236XX14,ses-78700
sub-CC00561XX09,ses-159900
sub-CC00525XX14,ses-150600
sub-CC00613XX11,ses-181601
sub-CC00664XX13,ses-195200
sub-CC00734XX17,ses-216900
sub-CC00410XX06,ses-125800
sub-CC00508XX13,ses-148700
sub-CC00145XX14,ses-48100
sub-CC00260XX05,ses-85300
sub-CC00163XX07,ses-53701
sub-CC00152AN04,ses-65700
sub-CC00692XX17,ses-200301
sub-CC00572CN12,ses-161200
sub-CC00098BN17,ses-33900
sub-CC00135AN12,ses-54400
sub-CC00108XX09,ses-36800
sub-CC00405XX09,ses-124900
sub-CC00585XX17,ses-178900
sub-CC00074XX09,ses-28000
sub-CC00581XX13,ses-177101
sub-CC00099AN18,ses-34200
sub-CC00654XX11,ses-192000
sub-CC00179XX15,ses-58800
sub-CC00330XX09,ses-128200
sub-CC00398XX20,ses-123100
sub-CC00858XX17,ses-32210
sub-CC00340XX11,ses-107902
sub-CC00797XX23,ses-6210
sub-CC00407AN11,ses-137100
sub-CC00720XX11,ses-211101
sub-CC00407BN11,ses-137200
sub-CC00556XX12,ses-162902
sub-CC00268XX13,ses-87800
sub-CC00484XX15,ses-142700
sub-CC00364XX10,ses-115200
sub-CC00149XX18,ses-49000
sub-CC00757XX15,ses-12010
sub-CC00087AN14,ses-38800
sub-CC00116XX09,ses-38001
sub-CC00766XX16,ses-4200
sub-CC00558XX14,ses-164100
sub-CC00590XX14,ses-187000
sub-CC00199XX19,ses-66700
sub-CC00223XX09,ses-75900
sub-CC00261XX06,ses-85600
